Pin[psia],Pout[psia],Tin[F],Tout[F],LiquidRate[B/D],GasRate[scf/D],s1,s3,s5b,s2,s4,s6
526,514,98,90,505,640831,0.2225,0.2448,0.2483,0.2136,0.2101,0.1847
579,572,93,72,234.6,677479,0.2199,0.2413,0.2445,0.1484,0.1302,0.1199
518,512,100,88,330.4,905634,0.201,0.204,0.219,0.1875,0.151,0.1527
395,378,102,95,864.5,628919,0.2852,0.3385,0.3181,0.2821,0.2213,0.2814
533,521,84,76,703.8,520402,0.3934,0.3993,0.3096,0.151,0.3949,0.1639
401,390,83,68,345.9,799311,0.1718,0.1684,0.1718,0.1562,0.0833,0.1439
665,659,70,68,234.6,743081,0.2294,0.2396,0.2473,0.1588,0.105,0.1319
616,609,81,78,234.6,1164866,0.152,0.1553,0.1539,0.1163,0.0781,0.1127
575,568,88,73,234.6,754148,0.1967,0.2022,0.1888,0.1406,0,0.1279
547,541,75,51,323.8,130150,0.451,0.5182,0.4163,0.1701,0.3645,0.2126
547,541,78,54,323.8,123029,0.4175,0.3966,0.5551,0.3029,0.4157,0.0584
548,542,86,70,323.8,109699,0.4372,0.4826,0.5277,0.2751,0.3263,0.1974
549,543,94,68,323.8,90434,0.5214,0.6041,0.5796,0.2309,0.3524,0.191
548,542,103,78,230.6,74635,0.5669,0.5954,0.5494,0.1883,0.3255,0.1767
551,545,110,77,457.3,130174,0.5506,0.5442,0.5107,0.23,0.401,0.1823
549,542,110,90,457.3,95048,0.5506,0.5242,0.523,0.3784,0.5077,0.2926
469,462,104,84,457.3,204937,0.3067,0.6076,0.4267,0.1892,0.1979,0.1727
473,466,105,75,457.3,166058,0.4982,0.4635,0.3115,0.1883,0.3263,0.2182
472,465,103,74,457.3,167631,0.4948,0.5416,0.4191,0.2448,0.2413,0.2526
604,584,80,76,595.1,1745730,0.1787,0.1606,0.152,0.1649,0.1423,0.1751
575,555,93,87,595.1,1399644,0.219,0.1779,0.186,0.1623,0.151,0.1639
555,542,100,85,595.1,1015462,0.2483,0.2491,0.2332,0.2317,0.1771,0.1871
537,528,105,93,595.1,775024,0.2895,0.2873,0.2615,0.2291,0.2586,0.2046
518,510,109,86,578.1,561468,0.3505,0.3602,0.371,0.2639,0.2578,0.1974
513,506,110,99,590.8,274798,0.4226,0.3897,0.4899,0.2048,0.4062,0.0951
504,500,98,78,132.3,253418,0.329,0.3081,0.3087,0.1285,0.1259,0.1097
446,442,98,70,131.8,204474,0.3419,0.3142,0.2851,0.1111,0.1632,0.0679
440,435,106,70,131.6,140991,0.378,0.3576,0.3965,0.0929,0.204,0.052
443,435,112,66,285,141260,0.3049,0.4999,0.3106,0.2717,0.2161,0.1886
