Run,P[psia],T[F],F[B/D],Fgas[scf/D],Pdrop-1,Pdrop-2,Pdrop-3,Pdrop-4,Pdrop-5,Pdrop-6
12101,529,64,92,1793716,-3,-0.6,-1.4,-0.4,-5,-1
12103,532,69,130,1798329,-1.8,-1.4,-2.2,-1.2,-5.4,-1.8
12202,426,74,575,1401284,-3.6,-2.8,-4.2,-3,-11.2,-2.8
12203,423,79,857,857840,-3.2,-2,-4,-2.4,-10.6,-2.6
12204,411,79,617,938779,-2.4,-1,-3.2,-1.6,-7.6,-1.2
12205,401,76,338,831174,-1.8,-0.2,-2.2,-1,-4.6,-0.8
12302,516,80,238,1335187,-1.4,-1.2,-1.6,-1,-4.8,-1
12303,535,89,509,1361592,-2,-0.2,-2.6,-1.6,-7.8,-1.6
12304,526,94,505,663704,-2,-0.6,-1.6,-0.4,-4.5,-0.4
12702,378,77,231,844692,-0.8,-0.4,-1.2,-0.6,-2.8,-0.6
12703,384,82,505,814955,-1.6,-0.6,-2,-1.2,-4.6,-1.2
12704,405,87,1077,780271,-3,-1.8,-3.6,-2.2,-9,-2.4
12705,385,89,1077,459842,-2,-1,-3,-1.4,-6.2,-1.4
12706,387,98,1080,286922,-1.4,-0.2,-2.6,-0.6,-5.2,-0.6
12707,387,99,867,286111,-1.2,-0.2,-2.2,-0.2,-4.2,-0.4
12708,427,99,864,926655,-2.4,-1.2,-3.2,-2,-9.8,-2
12709,395,98,864,653008,-2,-0.6,-2.6,-1,-7.8,-1.2
12902,635,74,128,1494170,-1,-0.8,-0.6,-1.6,-3,-1.4
12903,611,80,421,837799,-1.2,0.4,-1.4,-0.6,-4.4,-0.8
12904,605,80,515,793696,-1.6,0.2,-1.8,-0.8,-5.2,-1
12905,571,78,608,947422,-2.6,0.2,-2.6,-0.8,-6.4,-1.2
12906,546,80,703,985678,-3.4,-0.2,-3,-1.2,-7.6,-1.6
12907,533,80,703,542509,-2.6,0.8,-2.8,-0.4,-5.6,-0.8
22001,412,71,331,1007089,-1.4,-0.8,-1.8,-0.9,-4,-0.8
22002,391,76,331,780274,-1.2,-0.7,-1.4,-1.1,-3.2,-0.5
22003,385,80,331,580427,-0.8,-0.5,-1.3,-0.6,-2.6,-0.4
22004,347,84,331,291484,-1,-0.3,-1.7,-0.1,-2.2,-0.2
22005,308,86,331,251860,-0.8,-0.3,-1.4,-0.2,-2,-0.2
22006,291,87,331,228044,-0.7,-0.2,-1.3,0.1,-2,-0.1
22007,289,87,331,149999,-0.7,-0.2,-1.2,0.1,-2,-0.1
22008,286,88,331,113662,-0.8,-0.2,-0.9,-0.1,-1.9,-0.1
22009,285,89,331,71148,-0.8,-0.2,-1,-0.2,-2,-0.1
22010,284,91,415,71148,-0.9,-0.3,-0.9,-0.1,-2.1,-0.1
22011,288,90,415,260946,-0.7,-0.2,-1.2,0.1,-2.4,-0.1
22012,290,87,415,365469,-1,-0.3,-1.4,-0.1,-2.7,-0.2
22502,431,62,515,319909,-1,-0.3,-1.8,-0.1,-2.8,-0.1
22503,432,67,515,283475,-1.1,-0.4,-1.8,-0.1,-2.8,-0.2
22504,430,72,512,218097,-1.3,-0.3,-1.7,-0.1,-2.4,-0.5
22505,430,75,512,159957,-1.3,-0.1,-2,-0.3,-2.1,-0.8
22506,428,79,515,95000,-1.3,-0.2,-2,-0.4,-1.8,-1
22507,429,86,604,91808,-1.5,-0.1,-1.9,-0.5,-0.8,-1.9
22508,430,91,604,175836,-1.3,-0.3,-1.8,0.1,-0.9,-2
22509,431,89,604,239541,-1.1,-0.2,-1.8,-0.2,-1.1,-1.8
22510,432,95,604,281048,-1.3,-0.3,-1.8,-0.2,-1.3,-1.9
22511,435,96,604,328608,-1.3,-0.4,-2,-0.1,-1.8,-1.7
22512,439,98,703,311346,-1.3,-0.7,-2.1,-0.1,-1.9,-1.9
22513,440,100,703,253689,-1.4,-0.2,-2.5,-0.1,-1.7,-1.9
22514,440,100,703,177556,-1.3,-0.5,-1.9,-0.2,-1.3,-2.2
22515,439,101,703,110171,-1.4,-0.5,-2,-0.3,-2.2,-1.1
22516,440,97,805,107612,-1.4,-0.4,-2.1,-0.3,-2.5,-1
22517,439,102,805,167485,-1.3,-0.6,-1.8,-0.3,-1.5,-2.1
22518,405,99,805,242556,-1.3,-0.7,-1.9,-0.5,-1.8,-2.2
22519,406,99,805,291122,-1.6,-0.7,-2.1,-0.5,-2.3,-2.2
32002,559,75,233,1766601,-2.1,-1.4,-1.8,-1.5,-5,-1.3
32003,511,79,233,1319003,-1.4,-0.8,-1.7,-0.7,-3.6,-0.7
